section_number,title,description,chapter,chapter_title,keywords,text_length
23,Subordination of Executive Magistrates,"All Executive Magistrates, other than the Additional District Magistrate, shall be subordinate to the District Magistrate, and every Executive Magistrate (other than the Sub-divisional Magistrate) exercising powers in a sub-division shall also be subordinate to the Sub-divisional Magistrate, subject, however, to the general control of the District Magistrate. The District Magistrate may, from time to time, make rules or give special orders, consistent with this Code, as to the distribution of bu...",2,Constitution of Criminal Courts and Offices,"additional district magistrate, subordination, executive magistrates, magistrate, magistrates, district magistrate, executive magistrate, executive",632
24,Public Prosecutors,"For every High Court, the Central Government or the State Government shall, after consultation with the High Court, appoint a Public Prosecutor and may also appoint one or more Additional Public Prosecutor, for conducting in such Court, any prosecution, appeal or other proceeding on behalf of the Central Government or State Government, as the case may be. The Central Government may appoint one or more Public Prosecutors for the purpose of conducting any case or class of cases in any district, or...",2,Constitution of Criminal Courts and Offices,"public prosecutor, magistrate, sessions, judge, public, prosecution, court, state government, central government, prosecutors",2859
25,Assistant Public Prosecutors,"The State Government shall appoint in every district one or more Assistant public Prosecutors for conducting prosecutions in the Courts of Magistrates. 1A. The Central Government may appoint one or more Assistant Public Prosecutors for the purpose of conducting any case or class of cases in the Courts of Magistrates. Save as otherwise provided in Sub-Section (3), no police officer shall be eligible to be appointed as an Assistant Public Prosecutor. Where no Assistant Public Prosecutor is availab...",2,Constitution of Criminal Courts and Offices,"investigation, magistrate, courts, magistrates, public, state government, offence, prosecutors, assistant",875
25A,Directorate of Prosecution,"The State Government may establish a Directorate of Prosecution consisting of a Director of Prosecution and as many Deputy Directors of Prosecution as it thinks fit. A person shall be eligible to be appointed as a Director of Prosecution or a Deputy Director of Prosecution, only if he has been in practice as an advocate for not less than ten years and such appointment shall be made with the concurrence of the Chief Justice of the High Court. The Head of the Directorate of Prosecution shall be th...",2,Constitution of Criminal Courts and Offices,"director, prosecution, court, state government, directorate",1768
26,Courts by which offences are triable,"Subject to the other provisions of this Code,- any offence under the Indian Penal Code (45 of 1860) may be tried by- the High Court, or the Court of Session, or any other Court by which such offence is shown in the First Schedule to be triable;Provided that any offence under section 376, section 376A, section1 376AB, section 376B, section 376C, section 376D, section 376DA, section 376DB or section 376E of the Indian Penal Code shall be tried as far as practicable by a Court presided over by a wo...",3,Powers of Courts,"courts, triable, criminal, subject, court, session, offences, offence, indian penal code, high court",815
27,Jurisdiction in the case of juveniles,"Any offence not punishable with death or imprisonment for life, committed by any person who at the date when he appears or is brought before the Court is under the age of sixteen years, may be tried by the Court of a Chief Judicial Magistrate, or by any Court specially empowered under the Children Act, 1960 (60 of 1960), or any other law for the time being in force providing for the treatment, training and rehabilitation of youthful offenders.",3,Powers of Courts,"juveniles, chief judicial magistrate, magistrate, imprisonment, children act, court, jurisdiction, offence, case",447
28,Sentences which High Courts and Sessions Judges may pass,A High Court may pass any sentence authorised by law. A Sessions Judge or Additional Sessions Judge may pass any sentence authorised by law; but any sentence of death passed by any such Judge shall be subject to confirmation by the High Court. An Assistant Sessions Judge may pass any sentence authorised by law except a sentence of death or of imprisonment for life or of imprisonment for a term exceeding ten years.,3,Powers of Courts,"judges, courts, sessions, high court, sentences, additional sessions judge, imprisonment, sessions judge, pass, court",417
29,Sentences which Magistrates may pass,"The Court of a Chief Judicial Magistrate may pass any sentence authorised by law except a sentence of death or of imprisonment for life or of imprisonment for a term exceeding seven years. The Court of a Magistrate of the first class may pass a sentence of imprisonment for a term not exceeding three years, or of fine not exceeding ten thousand rupees, or both. The Court of a Magistrate of the second class may pass a sentence of imprisonment for a term not exceeding one year, or of fine not excee...",3,Powers of Courts,"chief judicial magistrate, magistrate, magistrates, fine, sentences, imprisonment, pass, court, sentence",748
30,Sentence of imprisonment in default of fine,"The Court of a Magistrate may award such term of imprisonment in default of payment of fine as is authorised by law; Provided that the term- is not in excess of the powers of the Magistrate under section 29; shall not, where imprisonment has been awarded as part of the substantive sentence, exceed one-fourth of the term of imprisonment which the Magistrate is competent to inflict as punishment for the offence otherwise than as imprisonment in default of payment of the fine. The imprisonment awar...",3,Powers of Courts,"magistrate, default, provided, imprisonment, court, offence, fine, sentence, punishment",650
31,Sentence in cases of conviction of several offences at one trial,"When a person is convicted at one trial of two or more offences, the Court may, subject to the provisions of section 71 of the Indian Penal Code (45 of 1860), sentence him for such offences, to the several punishments, prescribed therefore which such Court is competent to inflict; such punishments when consisting of imprisonment to commence the one after the expiration of the other in such order as the Court may direct, unless the Court directs that such punishments shall run concurrently. In th...",3,Powers of Courts,"punishment, appeal, imprisonment, conviction, court, several, cases, offences, sentence, trial",1216
32,Mode of conferring powers,"In conferring powers under this Code, the High Courts or the State Government, as the case may be, may, by order, empower persons specially by name or in virtue of their offices or classes of officials generally by their official titles. Every such order shall take effect from the date on which it is communicated to the person so empowered.",3,Powers of Courts,"mode, every, state government, powers, conferring, high courts",342
33,Powers of officers appointed,"Whenever any person holding an office in the service of Government who has been invested by the High Court or the State Government with any powers under this Code throughout any local area is appointed to an equal or higher office of the same nature, within a like local area under the same State Government, he shall, unless the High Court or the State Government, as the case may be, otherwise directs, or has otherwise directed, exercise the same powers in the local area in which he is so appoint...",3,Powers of Courts,"government, officers, appointed, whenever, court, state government, powers, high court",503
34,Withdrawal of powers,"The High Court or the state Government, as the case may be, may withdraw all or any of the powers conferred by it under this Code on any person or by any officer subordinate to it. Any powers conferred by the Chief Judicial Magistrate or by the District Magistrate may be withdrawn by the respective Magistrate by whom such powers were conferred.",3,Powers of Courts,"withdrawal, government, chief judicial magistrate, magistrate, district magistrate, court, powers, high court",346
35,Powers of Judges and Magistrates exercisable by their successors-in-office,"Subject to the other provisions of this Code, the powers and duties of a Judge or Magistrate may be exercised or performed by his successor-in-office. When there is any doubt as to who is the successor-in-office of any Additional or Assistant Sessions Judge, the Sessions Judge shall determine by order in writing the Judge who shall, for the purposes of this Code or of any proceeding or order thereunder, be deemed to be the successor-in-office of such Additional or Assistant Sessions Judge. When ...",3,Powers of Courts,"judges, successors, magistrate, magistrates, exercisable, subject, office, judge, powers, sessions",848
36,Powers of superior officers of police,"Police officers superior in rank to an officer in charge of a police station may exercise the same powers, throughout the local area to which they are appointed, as may be exercised by such officer within the limits of his station.",4,General Provisions as to Criminal Courts,"superior, officers, powers, police",231
37,Public when to assist Magistrates and police,"Every person is bound to assist a Magistrate or police officer reasonably demanding his aid- in the taking or preventing the escape of any other person whom such Magistrate or police officer is authorised to arrest; or in the prevention or suppression of a breach of the peace; or in the prevention of any injury attempted to be committed to any railway, canal, telegraph or public property.",4,General Provisions as to Criminal Courts,"magistrate, magistrates, assist, public, every, arrest, police",391
38,"Aid to person other than police officer, executing warrant","When a warrant is directed to a person other than a police officer, any person may aid in the execution of such warrant, if the person to whom the warrant is directed be near at hand and acting in the execution of the warrant.",4,General Provisions as to Criminal Courts,"warrant, executing, officer, person, police",226
39,Public to give information of certain offences,"Every person, aware of the Commission of, or of the intention of any other person to commit, any offence punishable under any of the following sections of the Indian Penal Code (45 of 1860), namely- sections 121 to 126, both inclusive, and section 130 (that is to say offences against the state specified in Chapter VI of the said Code); sections 143, 144, 145, 147 and 148 (that is to say, offences against the public tranquility specified in Chapter VIII of the said Code); sections 161 to 165A, bo...",4,General Provisions as to Criminal Courts,"magistrate, certain, information, criminal, give, public, every, offences, offence, commission",1939
40,Duty of officers employed in connection with the affairs of a village to make certain report,"Every officer employed in connection with the affairs of a village and every person residing in a village shall forthwith communicate to the nearest Magistrate or to the officer in charge of the nearest police station, whichever is nearer, any information which he may possess respecting; the permanent or temporary residence of any notorious receiver or vendor of stolen property in or near such village; the resort to any place within, or the passage through, such village of any person whom he kno...",4,General Provisions as to Criminal Courts,"officers, magistrate, duty, certain, report, connection, every, make, court, affairs",2790
41,When police may arrest without warrant,"Any police officer may without an order from a Magistrate and without a warrant, arrest any person; who has been concerned in any cognizable offence, or against whom a reasonable complaint has been made, or credible information has been received, or a reasonable suspicion exists, of his having been so concerned; or who has in his possession without lawful excuse, the burden of proving which excuse shall lie on such person, any implement of house-breaking; or who has been proclaimed as an offende...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"armed forces, magistrate, warrant, without, arrest, state government, custody, offence, union, police",2101
42,Arrest on refusal to give name and residence,"When any person who, in the presence of a police officer, has committed or has been accused of committing a non-cognizable offence refuses, on demand of such officer, to give his name and residence or gives a name or residence which such officer has reason to believe to be false, he may be arrested by such officer in order that his name or residence may be ascertained. When the true name and residence of such person have been ascertained, he shall be released on his executing a bond, with or wit...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"magistrate, provided, residence, india, give, arrest, jurisdiction, offence, name, refusal",973
43,Arrest by private person and procedure on such arrest,"Any private person may arrest or cause to be arrested any person who in his presence commits a non-bailable and cognizable offence, or any proclaimed offender, and, without unnecessary delay, shall make over or cause to be made over any person so arrested to a police officer, or, in the absence of a police officer, take such person or cause him 10 be taken in custody to the nearest police station. If there is reason to believe that such person comes under the provisions of section 41, a police o...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"private, procedure, arrest, custody, person, offence",940
44,Arrest by Magistrate,"When any offence is committed in the presence of a Magistrate, whether Executive or Judicial, within his local jurisdiction, he may himself arrest or order any person to arrest the offender, and may thereupon, subject to the provisions herein contained as to bail, commit the offender to custody. Any Magistrate, whether Executive or Judicial, may at any time arrest or direct the arrest, in his presence, within his local jurisdiction, of any person for whose arrest he is competent at the time and ...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"bail, magistrate, judicial, warrant, arrest, jurisdiction, custody, offence, executive",540
45,Protection of members of the Armed Forces from arrest,"Notwithstanding anything contained in sections 41 to 44 (both inclusive), no member of the Armed Forces of the Union shall be arrested for anything done or purported to be done by him in the discharge of his official duties except after obtaining the consent of the Central Government. The State Government may, by notification, direct that the provisions of Sub-Section (1) shall apply to such class or category of the members of the Force charged with the maintenance of public order as may be spec...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"armed forces, union, protection, arrest, armed, members, state government, central government, notwithstanding, forces",722
46,Arrest how made,"In making an arrest the police officer or other person making the same shall actually touch or confine the body of the person to be arrested, unless there be a submission to the custody by word or action. If such person forcibly resists the endeavour to arrest him, or attempts to evade the arrest, such police officer or other person may use all me ans necessary to effect the arrest. Nothing in this section gives a right to cause the death of a person who is not accused of an offence punishable w...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"save, magistrate, imprisonment, nothing, made, arrest, jurisdiction, custody, offence, judicial magistrate",903
47,Search of place entered by person sought to be arrested,"If any person acting under a warrant of arrest, or any police officer having authority to arrest, has reason to believe that the person to be arrested has entered into, or is within, any place, any person residing in, or being in charge of, such place shall, on demand of such person acting as aforesaid or such police officer, allow him such free ingress thereto, and afford all reasonable facilities for a search therein. If ingress to such place cannot be obtained under Sub-Section (1), it shall ...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"entered, search, arrested, provided, place, warrant, sought, arrest, person",1768
48,Pursuit of offenders into other jurisdictions,"A police officer may, for the purpose of arresting without warrant any person whom he is authorised to arrest, pursue such person into any place in India.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"offenders, jurisdictions, pursuit, warrant, into, india, arrest",154
49,No unnecessary restraint,The person arrested shall not be subjected to more restraint than is necessary to prevent his escape.,5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"restraint, unnecessary",101
50,Person arrested to be informed of grounds of arrest and of right to bail,"Every police officer or other person arresting any person without warrant shall forthwith communicate to him full particulars of the offence for which he is arrested or other grounds for such arrest. Where a police officer arrests without warrant any person other than a person accused of a non-bailable offence, he shall inform the person arrested that he is entitled to be released on bail and that he may arrange for sureties on his behalf.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"arrested, grounds, bail, warrant, informed, arrest, every, right, person, offence",443
50A,"Obligation of person making arrest to inform about the arrest etc., to a nominated person","Every police officer or other person making any arrest under this Code shall forthwith give the information regarding such arrest and place where the arrested person is being held to any of his friends, relatives or such other persons as may be disclosed or nominated by the arrested person for the purpose of giving such information. The police officer shall inform the arrested person of his rights under subsection (1) as soon as he is brought to the police station. An entry of the fact as to who...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"nominated, obligation, magistrate, about, inform, arrest, every, state government, person, making",903
51,Search of arrested persons,"Whenever a person is arrested by a police officer under a warrant which does not provide for the taking of bail, or under a warrant which provides for the taking of bail but the person Arrested cannot furnish bail, And whenever a person is arrested without warrant, or by a private person under a warrant, and cannot legally be admitted to bail, or is unable to furnish bail. The officer making the arrests or, when the arrest is made by a private person, the police officer to whom he makes over the...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"search, arrested, bail, warrant, whenever, arrest, custody, persons",929
52,Power to seize offensive weapons,"The officer or other person making any arrest under this Code may taken from the person arrested any offensive weapons which he has about his person, and shall deliver all weapons so taken to the Court or officer before which or whom the officer or person making the arrest is required by this Code to produce the person arrested.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"offensive, seize, power, weapons, arrest, court",330
53,Examination of accused by medical practitioner at the request of police officer,"When a person is arrested on a charge of committing an offence of such a nature and alleged to have been committed under such circumstances that there are reasonable grounds for believing that an examination of his person will afford evidence as to the commission of an offence, it shall be lawful for a registered medical practitioner, acting at the request of a police officer not below the rank of sub-inspector, and for any person acting in good faith in his aid and under his direction, to make ...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"medical, whenever, evidence, examination, accused, request, officer, offence, practitioner, police",880
53A,Examination of person accused of rape by medical practitioner,"When a person is arrested on a charge of committing an offence of rape or an attempt to commit rape and there are reasonable grounds for believing that an examination of his person will afford evidence as to the commission of such offence, it shall be lawful for a registered medical practitioner employed in a hospital run by the Government or by a local authority and in the absence of such a practitioner within the radius of sixteen kilometers from the place where the offence has been committed ...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"government, magistrate, rape, medical, evidence, examination, accused, person, practitioner, offence",1741
54,Examination of arrested person by medical practitioner at the request of the arrested person,"When a person who is arrested, whether on a charge or otherwise, alleges, at the time when he is produced before a Magistrate or at any time during the period of his detention in custody that the examination of his body will afford evidence which will disprove the commission by him of any offence or which will establish the commission by any other person of any offence against his body, the Magistrate shall, if requested by the arrested person so to do direct the examination of the body of such ...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"arrested, detention, magistrate, medical, evidence, examination, arrest, request, custody, person",896
54A,Identification of person arrested,"Where a person is arrested on a charge of committing an offence and his identification by any other person or persons is considered necessary for the purpose of investigation of such offence, the Court, having jurisdiction, may on the request of the officer in charge of a police station, direct the person so arrested to subject himself to identification by any person or persons in such manner as the Court may deem fit. Provided that, if the person identifying the person arrested is mentally or p...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"investigation, arrested, magistrate, identification, provided, criminal, court, jurisdiction, person, judicial magistrate",946
55,Procedure when police officer deputes subordinate to arrest without warrant,"When any officer in charge of a police station or any police officer making an investigation under Chapter XII requires any officer subordinate to him to arrest without a warrant (otherwise than in his presence) any person who may lawfully be arrested without a warrant, he shall deliver to the officer required to make the arrest an order in writing, specifying the person to be arrested and the offence or other cause for which the arrest is to be made and the officer so required shall, before mak...",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"investigation, warrant, procedure, nothing, arrest, without, subordinate, officer, offence, deputes",747
56,Person arrested to be taken before Magistrate or officer in charge of police station,"A police officer making an arrest without warrant shall, without unnecessary delay and subject to the provisions herein contained as to bail, lake or send the person arrested before a Magistrate having jurisdiction in the case, or before the officer in charge of a police station.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"arrested, before, taken, magistrate, bail, warrant, station, arrest, charge, jurisdiction",280
57,Person arrested not to be detained more than twenty-four hours,"No police officer shall detain in custody a person arrested without warrant for a longer period than under all the circumstances of the case is reasonable, and such period shall not, in the absence of a special order of a Magistrate under section 167, exceed twenty-four hours exclusive of the time necessary for the journey from the place of arrest to the Magistrate’s Court.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"arrested, magistrate, more, four, warrant, arrest, court, custody, detained, person",376
58,Police to report apprehensions,"Officers in charge of police stations shall report to the District Magistrate, or, if he so directs, to the Sub-divisional Magistrate, the cases of all persons arrested without warrant, within the limits of their respective stations, whether such persons have been admitted to bail or otherwise.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"officers, bail, magistrate, district magistrate, warrant, report, apprehensions, police",295
59,Discharge of person apprehended,"No person who has been arrested by a police officer shall be discharged except on his own bond, or on bail, or under the special order of a Magistrate.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"bail, magistrate, apprehended, person, discharge",151
60,"Powers, on escape, to pursue and re-take","If a person in lawful custody escapes or is rescued, the person from whose custody he escaped or was rescued may immediately pursue and arrest him in any place in India. The provisions of section 47 shall apply to arrests under Sub-Section (1) although the person making any such arrest is not acting under a warrant and is not a police officer having authority to arrest.",5,Jurisdiction of the Criminal Courts in Inquiries and Trials,"warrant, india, take, arrest, custody, pursue, powers, escape",372
61,Form of summons,"Every summons issued by a Court under this Code shall be in writing, in duplicate, signed by the presiding officer of such Court or by such other officer as the High Court may, from time to time, by rule direct, and shall bear the seal of the Court. See CrPC Schedule 2 for all the forms.",6,Of the Exercise of Powers of Executive Magistrates,"every, court, form, summons, high court",288
62,Summons how served,"Every summons shall be served by a police officer, or subject to such rules as the State Government may make in this behalf, by an officer of the Court issuing it or other public servant. The summons shall, if practicable, be served personally on the person summoned, by delivering or tendering to him one of the duplicates of the summons. Every person on whom a summons is so served shall, if so required by the serving officer, sign a receipt therefore on the back of the other duplicate.",6,Of the Exercise of Powers of Executive Magistrates,"every, court, state government, served, summons",490
63,Service of summons on corporate bodies and societies,"Service of a summons on a corporation may be effected by serving it on the secretary, local manager or other principal officer of the corporation, or by letter sent by registered post, addressed to the chief officer of the corporation in India, in which case the service shall be deemed, to have been effected when the letter would arrive in ordinary course of post.",6,Of the Exercise of Powers of Executive Magistrates,"service, india, bodies, societies, corporate, summons",366
