section_number,title,description,chapter,chapter_title,keywords,text_length
19,Power of licensing authority to disqualify from holding a driving licence or revoke such licence,"(1) If a licensing authority is satisfied, after giving the holder of a driving licence an opportunity of being heard, that he-- (a) is a habitual criminal or a habitual drunkard; or (b) is a habitual addict to any narcotic drug or psychotropic substance within the meaning of the Narcotic Drugs and Psychotropic Substances Act, 1985 (61 of 1985); or (c) is using or has used a motor vehicle in the commission of a cognizable offence; or (d) has by his previous conduct as driver of a motor vehicle s...",2,Licensing of Drivers,"driving, narcotic drugs, provided, licence, revoke, central government, such, psychotropic substances act, authority, holding",4200
20,Power of Court to disqualify,"(1) Where a person is convicted of an offence under this Act or of an offence in the commission of which a motor vehicle was used, the Court by which such person is convicted may, subject to the provisions of this Act, in addition to imposing any other punishment authorised by law, declare the persons so convicted to be disqualified, for such period as the Court may specify, from holding any driving licence to drive all classes or description of vehicles, or any particular class or description o...",2,Licensing of Drivers,"provided, court, power, disqualify",2593
21,Suspension of driving licence in certain cases,"(1) Where, in relation to a person who had been previously convicted of an offence punishable under section 184, a case is registered by a police officer on the allegation that such person has, by such dangerous driving as is referred to in the said section 184, of any class or description of motor vehicle caused the death of, or grievous hurt to, one or more persons, the driving licence held by such person shall in relation to such class or description of motor vehicle become suspended-- (a) fo...",2,Licensing of Drivers,"driving, suspension, licence, certain, court, cases",1767
22,Suspension or cancellation of driving licence on conviction,"(1) Without prejudice to the provisions of sub-section (3) of section 20 where a person, referred to in sub-section (1) of section 21 is convicted of an offence of causing, by such dangerous driving as is referred to in section 184 of any class or description of motor vehicle the death of, or grievous hurt to, one or more persons, the Court by which such person is convicted may cancel, or suspend for such period as it may think fit, the driving licence held by such person in so far as it relates...",2,Licensing of Drivers,"driving, suspension, without, licence, conviction, cancellation, court",2264
23,Effect of disqualification order,"(1) A person in respect of whom any disqualification order is made under section 19 or section 20 shall be debarred to the extent and for the period specified in such order from holding or obtaining a driving licence and the driving licence, if any, held by such person at the date of the order shall cease to be effective to such extent and during such period. (2) The operation of a disqualification order made under section 20 shall not be suspended or postponed while an appeal is pending against...",2,Licensing of Drivers,"provided, order, court, disqualification, effect",1264
24,Endorsement,"(1) The Court or authority making an order of disqualification shall endorse or cause to be endorsed upon the driving licence if any, held by the person disqualified, particulars of the order of disqualification and of any conviction of an offence in respect of which an order of disqualification is made; and particulars of any cancellation or variation of an order of disqualification made under sub-section (3) of section 23 shall be similarly so endorsed. (2) A Court by which any person is convi...",2,Licensing of Drivers,"central government, court, endorsement",1975
25,Transfer of endorsement and issue of driving licence free from endorsement,"(1) An endorsement on any driving licence shall be transferred to any new or duplicate driving licence obtained by the holder thereof until the holder becomes entitled under the provisions of this section to have a driving licence issued to him free from endorsement. (2) Where a driving licence is required to be endorsed and the driving licence is not in the possession of the Court or authority by which the endorsement is to be made, then-- (a) if the person in respect of whom the endorsement is...",2,Licensing of Drivers,"driving, transfer, licence, free, court, endorsement, issue",1895
25A,National Register of Driving Licences,"1[25A. National Register of Driving Licences.---(1) The Central Government shall maintain a National Register of Driving Licences in such form and manner as may be prescribed. (2) All State Registers of Driving Licences shall be subsumed under the National Register of Driving Licences by a date to be notified by the Central Government. (3) No driving licence issued, or renewed, under this Act shall be valid unless it has been issued a unique driving licence number under the National Register of ...",2,Licensing of Drivers,"driving, driving licences, central government, register, national register, national, licences",919
26,Maintenance of State Registers of Driving Licences,"1[26. Maintenance of State Registers of Driving Licences.-- Each State Government shall maintain, in such form as may be prescribed by the Central Government, a register to be known as the State Register of Driving Licences, in respect of driving licences issued and renewed by the licensing authorities of the State Government, containing particulars, including-- (a) names and addresses of holders of driving licences; (b) licence numbers; (c) dates of issue or renewal of licences; (d) dates of ex...",2,Licensing of Drivers,"each state government, driving, driving licences, central government, state, maintenance, state registers, registers, licences",1099
27,Power of Central Government to make rules,"The Central Government may make rules-- 1[(a) specifications relating to e-cart and e-rickshaw under sub-section (2) of section 2A;] 2[(aa)] regarding conditions referred to in sub-section (2) of section 3; (b) providing for the form in which the application for learner’s licence may be made, the information it shall contain and the documents to be submitted with the application referred to in sub-section (2) of section 8; (c) providing for the form of medical certificate referred to in sub-sect...",2,Licensing of Drivers,"central government, central, rules, power, make, government",3764
28,Power of State Government to make rules,"(1) A State Government may make rules for the purpose of carrying into effect the provisions of this Chapter other than the matters specified in section 27. (2) Without prejudice to the generality of the foregoing power, such rules may provide for-- (a) the appointment, jurisdiction, control and functions of licensing authorities and other prescribed authorities; (b) the conduct and hearing of appeals that may be preferred under this Chapter, the fees to be paid in respect of such appeals and th...",2,Licensing of Drivers,"without, provided, state, rules, state government, chapter, power, make, government",1552
29,Necessity for conductor's licence,(1) No person shall act as a conductor of a stage carriage unless he holds an effective conductors licence issued to him authorising him to act as such conductor; and no person shall employ or permit any person who is not so licensed to act as a conductor of a stage carriage. (2) A State Government may prescribe the conditions subject to which sub-section (1) shall not apply to a driver of a stage carriage performing the functions of a conductor or to a person employed to act as a conductor for ...,2,Licensing of Drivers,"licence, conductor, state government, necessity",533
30,Grant of conductor's licence,(1) Any person who possesses such minimum educational qualification as may be prescribed by the State Government and is not disqualified under sub-section (1) of section 31 and who is not for the time being disqualified for holding or obtaining a conductor's licence may apply to the licensing authority having jurisdiction in the area in which he ordinarily resides or carries on business for the issue to him of a conductor's licence. (2) Every application under sub-section (1) shall be in such fo...,2,Licensing of Drivers,"every, licence, conductor, state, chapter, state government, grant",1130
31,Disqualifications for the grant of conductor's licence,"(1) No person under the age of eighteen years shall hold, or be granted, a conductor's licence. (2) The licensing authority may refuse to issue a conductor's licence-- (a) if the applicant does not possess the minimum educational qualification; (b) if the medical certificate produced by the applicant discloses that he is physically unfit to act as a conductor; and (c) if any previous conductor's licence held by the applicant was revoked.",3,Licensing of Conductors,"licence, disqualifications, conductor, grant",441
32,Revocation of a conductor's licence on grounds of disease or disability,"A conductor's licence may at any time be revoked by any licensing authority if that authority has reasonable grounds to believe that the holder of the licence is suffering from any disease or disability which is likely to render him permanently unfit to hold such a licence and where the authority revoking a conductor's licence is not the authority which issued the same, it shall intimate the fact of such revocation to the authority which issued that licence: Provided that before revoking any lic...",3,Licensing of Conductors,"provided, revocation, licence, conductor, grounds, disability, disease",613
33,"Orders refusing, etc, conductor's licences and appeals therefrom","(1) Where a licensing authority refuses to issue or renew, or revokes any conductor's licence, it shall do so by an order communicated to the applicant or the holder, as the case may be, giving the reasons in writing for such refusal or revocation. (2) Any person aggrieved by an order made under sub-section (1) may, within thirty days of the service on him of the order, appeal to the prescribed authority which shall decide the appeal after giving such person and the authority which made the orde...",3,Licensing of Conductors,"refusing, orders, therefrom, conductor, appeals, licences",631
34,Power of licensing authority to disqualify,"(1) If any licensing authority is of opinion that it is necessary to disqualify the holder of a conductor's licence for holding or obtaining such a licence on account of his previous conduct as a conductor, it may, for reasons to be recorded, make an order disqualifying that person for a specified period, not exceeding one year, for holding or obtaining a conductor's licence: Provided that before disqualifying the holder of a licence, the licensing authority shall give the person holding such li...",3,Licensing of Conductors,"provided, upon, authority, licensing, power, disqualify",1460
35,Power of Court to disqualify,"(1) Where any person holding a conductor's licence is convicted of an offence under this Act, the Court by which such person is convicted may, in addition to imposing any other punishment authorised by law, declare the person so convicted to be disqualified for such period as the Court may specify for holding a conductor's licence. (2) The Court to which an appeal lies from any conviction of an offence under this Act may set aside or vary any order of disqualification made by the Court below, an...",3,Licensing of Conductors,"disqualify, court, power",737
36,Certain provisions of Chapter II to apply to conductor's licence,"The provisions of sub-section (2) of section 6, sections 14, 15 and 23, sub-section (1) of section 24 and section 25 shall, so far as may be, apply in relation to a conductors licence, as they apply in relation to a driving licence.",3,Licensing of Conductors,"certain, licence, conductor, apply, provisions, chapter",232
37,Savings,"If any licence to act as a conductor of a stage carriage (by whatever name called) has been issued in any State and is effective immediately before the commencement of this Act, it shall continue to be effective, notwithstanding such commencement, for the period for which it would have been effective, if this Act had not been passed, and every such licence shall be deemed to be a licence issued under this Chapter as if this Chapter had been in force on the date on which that licence was granted.",3,Licensing of Conductors,"chapter, savings, state",500
38,Power of State Government to make rules,"(1) A State Government may make rules for the purpose of carrying into effect the provisions of this Chapter. (2) Without prejudice to the generality of the foregoing power, such rules may provide for-- (a) the appointment, jurisdiction, control and functions of licensing authorities and other prescribed authorities under this Chapter; (b) the conditions subject to which drivers of stage carriages performing the functions of a conductor and persons temporarily employed to act as conductors may b...",3,Licensing of Conductors,"without, state, rules, state government, chapter, power, make, government",1922
39,Necessity for registration,No person shall drive any motor vehicle and no owner of a motor vehicle shall cause or permit the vehicle to be driven in any public place or in any other place unless the vehicle is registered in accordance with this Chapter and the certificate of registration of the vehicle has not been suspended or cancelled and the vehicle carries a registration mark displayed in the prescribed manner: Provided that nothing in this section shall apply to a motor vehicle in possession of a dealer subject to s...,3,Licensing of Conductors,"provided, central government, registration, chapter, necessity",562
40,"Registration, where to be made","Subject to the provisions of section 42, section 43 and section 60, every owner of a motor vehicle shall cause the vehicle to be registered by 1[any registering authority in the State] in whose jurisdiction he has the residence or place of business where the vehicle is normally kept.",3,Licensing of Conductors,"subject, made, state, registration",284
41,"Registration, how to be made","(1) An application by or on behalf of the owner of a motor vehicle for registration shall be in such form and shall be accompanied by such documents, particulars and information and shall be made within such period as may be prescribed by the Central Government: Provided that where a motor vehicle is jointly owned by more persons than one, the application shall be made by one of them on behalf of all the owners and such applicant shall be deemed to be the owner of the motor vehicle for the purpo...",3,Licensing of Conductors,"provided, central government, made, state, registration",4003
42,"Special provision for registration of motor vehicles of diplomatic officers, etc",".(1) Where an application for registration of a motor vehicle is made under sub-section (1) of section 41 by or on behalf of any diplomatic officer or consular officer, then, notwithstanding anything contained in sub-section (3) or sub-section (6) of that section, the registering authority shall register the vehicle in such manner and in accordance with such procedure as may be provided by rules made in this behalf by the Central Government under sub-section (3) and shall assign to the vehicle f...",3,Licensing of Conductors,"consular, officer, provision, officers, central government, registration, special, vehicles, motor, diplomatic",2000
43,Temporary registration,"1[43. Temporary registration.-- Notwithstanding anything contained in section 40, the owner of a motor vehicle may apply to any registering authority or other authority as may be prescribed by the State Government to have the motor vehicle temporarily registered and such authority shall issue a temporary certificate of registration and temporary registration mark in accordance with such rules as may be made by the Central Government: Provided that the State Government may register a motor vehicl...",3,Licensing of Conductors,"provided, temporary, central government, notwithstanding, registration, state government",693
44,Production of vehicle at the time of registration,"1[44. Production of vehicle at the time of registration.-- (1) Subject to such terms and conditions as may be prescribed by the Central Government in this behalf, a motor vehicle sold by an authorised dealer shall not require production before a registering authority for the purposes of registration for the first time. (2) Subject to such terms and conditions as may be prescribed by the State Government, a person in whose name a certificate of registration has been issued shall not be required t...",3,Licensing of Conductors,"subject, central government, registration, state government, production, vehicle",580
45,Refusal of registration or renewal of the certificate of registration,"The registering authority may, by order, refuse to register any motor vehicle, or renew the certificate of registration in respect of a motor vehicle (other than a transport vehicle), if in either case, the registering authority has reason to believe that it is a stolen motor vehicle or the vehicle is mechanically defective or fails to comply with the requirements of this Act or of the rules made thereunder, or if the applicant fails to furnish particulars of any previous registration of the veh...",3,Licensing of Conductors,"certificate, renewal, registration, refusal",913
46,Effectiveness in India of registration,"Subject to the provisions of section 47, a motor vehicle registered in accordance with this Chapter in any State shall not require to be registered elsewhere in India and a certificate of registration issued or in force under this Act in respect of such vehicle shall be effective throughout India.",3,Licensing of Conductors,"effectiveness, subject, india, state, registration, chapter",298
47,Assignment of new registration mark on removal to another State,"(1) When a motor vehicle registered in one State has been kept in another State, for a period exceeding twelve months, the owner of the vehicle shall, within such period and in such form containing such particulars as may be prescribed by the Central Government, apply to the registering authority, within whose jurisdiction the vehicle then is, for the assignment of a new registration mark and shall present the certificate of registration to that registering authority: Provided that an applicatio...",3,Licensing of Conductors,"provided, central government, state, registration, assignment, removal, mark, another",4010
48,No objection certificate,"(1) The owner of a motor vehicle when applying for the assignment of a new registration mark under sub-section (1) of section 47, or where the transfer of a motor vehicle is to be effected in a State other than the State of its registration, the transferor of such vehicle when reporting the transfer under sub-section (1) of section 50, shall make an application in such form and in such manner as may be prescribed by the Central Government to the registering authority by which the vehicle was reg...",3,Licensing of Conductors,"objection, certificate, provided, central government, state",2758
49,Change of residence or place of business,"(1) If the owner of a motor vehicle ceases to reside or have his place of business at the address recorded in the certificate of registration of the vehicle, he shall, within thirty days of any such change of address, intimate in such form accompanied by such documents as may be prescribed by the Central Government, his new address, to the registering authority by which the certificate of registration was issued, or, if the new address is within the jurisdiction of another 1[State, to any regist...",3,Licensing of Conductors,"business, provided, central government, change, state, residence, place",2510
50,Transfer of ownership,"(1) Where the ownership of any motor vehicle registered under this Chapter is transferred,-- (a) the transferor shall,-- (i) in the case of a vehicle registered within the same State, within fourteen days of the transfer, report the fact of transfer, in such form with such documents and in such manner, as may be prescribed by the Central Government to the registering authority within whose jurisdiction the transfer is to be effected and shall simultaneously send a copy of the said report to the ...",3,Licensing of Conductors,"transfer, central government, state, chapter, ownership",4244
51,"Special provisions regarding motor vehicle subject to hire-purchase agreement, etc","(1) Where an application for registration of a motor vehicle which is held under a hire-purchase, lease or hypothecation agreement (hereafter in this section referred to as the said agreement) is made, the registering authority shall make an entry in the certificate of registration regarding the existence of the said agreement. (2) Where the ownership of any motor vehicle registered under this Chapter is transferred and the transferee enters into the said agreement with any person, the 1[last re...",3,Licensing of Conductors,"hire, regarding, subject, purchase, central government, authority, provisions, special, appropriate, motor",7452
52,Alteration in motor vehicle,"1[52. Alteration in motor vehicle.-- (1) No owner of a motor vehicle shall so alter the vehicle that the particulars contained in the certificate of registration are at variance with those originally specified by the manufacturer: Provided that where the owner of a motor vehicle makes modification of the engine, or any part thereof, of a vehicle for facilitating its operation by different type of fuel or source of energy including battery, compressed natural gas, solar power, liquid petroleum ga...",3,Licensing of Conductors,"provided, central government, alteration, motor, vehicle",2754
53,Suspension of registration,"(1) If any registering authority or other prescribed authority has reason to believe that any motor vehicle within its jurisdiction-- (a) is in such a condition that its use in a public place would constitute a danger to the public, or that it fails to comply with the requirements of this Act or of the rules made thereunder, or (b) has been, or is being, used for hire or reward without a valid permit for being used as such, the authority may, after giving the owner an opportunity of making any r...",3,Licensing of Conductors,"suspension, registration",1989
54,Cancellation of registration suspended under section 53,"Where the suspension of registration of a vehicle under section 53 has continued without interruption for a period of not less than six months, the registering authority within whose jurisdiction the vehicle was when the registration was suspended, may, if it is the original registering authority, cancel the registration, and if it is not the original registering authority, shall forward the certificate of registration to that authority which may cancel the registration.",3,Licensing of Conductors,"under, section, cancellation, registration, suspended",475
55,Cancellation of registration,"(1) If a motor vehicle has been destroyed or has been rendered permanently incapable of use, the owner shall, within fourteen days or as soon as may be, report the fact to the registering authority within whose jurisdiction he has the residence or place of business where the vehicle is normally kept, as the case may be, and shall forward to that authority the certificate of registration of the vehicle. (2) The registering authority shall, if it is the original registering authority, cancel the r...",3,Licensing of Conductors,"certificate, provided, india, authority, cancellation, registration, state government, registering, original",3852
56,Certificate of fitness of transport vehicles,"(1) Subject to the provisions of sections 59 and 60, a transport vehicle shall not be deemed to be validly registered for the purposes of section 39, unless it carries a certificate of fitness in such form containing such particulars and information as may be prescribed by the Central Government, issued by the prescribed authority, or by an authorised testing station mentioned in sub-section (2), to the effect that the vehicle complies for the time being with all the requirements of this Act and...",3,Licensing of Conductors,"certificate, testing, subject, transport, central government, provided, station, authorised, vehicles, fitness",3249
57,Appeals,"1[(1) Any person aggrieved by an order of the registering authority under section 41, 42, 43, 45, 47, 48, 49, 50, 52, 53, 55 or 56 may, within thirty days of the date on which he has received notice of such order, appeal against the order to the prescribed authority.] (2) The appellate authority shall give notice of the appeal to the original authority and after giving an opportunity to the original authority and the appellant to be heard in the appeal pass such orders as it thinks fit.",3,Licensing of Conductors,appeals,491
58,Special provisions in regard to transport vehicles,"(1) The Central Government may, having regard to the number, nature and size of the tyres attached to the wheels of a transport vehicle, (other than a motorcab), and its make and model and other relevant considerations, by notification in the Official Gazette, specify, in relation to each make and model of a transport vehicle, the 1[maximum gross vehicle weight] of such vehicle and the maximum safe axle weight of each axle of such vehicle. (2) A registering authority, when registering a transpor...",3,Licensing of Conductors,"official gazette, provided, transport, central government, vehicles, provisions, special, regard",2359
59,Power to fix the age limit of motor vehicle,"(1) The Central Government may, having regard to the public safety, convenience and objects of this Act, by notification in the Official Gazette, specify the life of a motor vehicle reckoned from the date of its manufacture, after the expiry of which the motor vehicle shall not be deemed to comply with the requirements of this Act and the rules made thereunder: Provided that the Central Government may specify different ages for different classes or different types of motor vehicles. (2) Notwiths...",3,Licensing of Conductors,"official gazette, limit, provided, central government, notwithstanding, motor, power, vehicle",1563
60,Registration of vehicles belonging to the Central Government,"(1) Such authority as the Central Government may, by notification in the Official Gazette, specify, may register any motor vehicle which is the property or for the time being under the exclusive control of the Central Government and is used for Government purposes relating to the defence of the country and unconnected with any commercial enterprise and any vehicle so registered shall not, so long as it remains the property or under the exclusive control of the Central Government, require to be r...",3,Licensing of Conductors,"official gazette, central government, such, central, vehicles, registration, government, belonging",1523
61,Application of Chapter to trailers,"(1) The provisions of this Chapter shall apply to the registration of trailers as they apply to the registration of any other motor vehicle. (2) The registration mark assigned to a trailer shall be displayed in such manner on the side of the drawing vehicle, as may be prescribed by the Central Government. (3) No person shall drive a motor vehicle to which a trailer is or trailers are attached unless the registration mark of the motor vehicle so driven is displayed on the trailer or on the last t...",4,Registration of Motor Vehicles,"central government, application, trailers, chapter",603
62,Information regarding stolen and recovered motor vehicles to be furnished by the police to the State Transport Authority,"The State Government may, if it thinks necessary or expedient so to do in the public interest, direct the submission by the Inspector General of Police (by whatever designation called) and such other police officers as the State Government may specify in this behalf, of such returns containing the information regarding vehicles which have been stolen and stolen vehicles which have been recovered of which the police are aware, to the State Transport Authority, and may prescribe the form in which ...",4,Registration of Motor Vehicles,"inspector general, stolen, regarding, transport, state transport authority, state, vehicles, authority, information, motor",555
62A,Prohibition of registration and issuance of certificate of fitness to oversized vehicles,1[62A. Prohibition of registration and issuance of certificate of fitness to oversized vehicles.--(1) No registering authority shall register any motor vehicle that contravenes any rule made under clause (a) of sub-section (1) of section 110. (2) No prescribed authority or authorised testing station shall issue a certificate of fitness under section 56 to any motor vehicle that contravenes any rule made under section 110.],4,Registration of Motor Vehicles,"certificate, oversized, registration, prohibition, fitness, vehicles, issuance",426
62B,National Register of Motor Vehicles,"1[62B. National Register of Motor Vehicles. --(1) The Central Government shall maintain a National Register of Motor Vehicles in such form and manner as may be prescribed by it: Provided that all State Registers of Motor Vehicles shall be subsumed under the National Register of Motor Vehicles by such date as may be notified in the Official Gazette by the Central Government. (2) No certificate of registration issued, or renewed, under this Act shall be valid unless it has been issued a unique reg...",4,Registration of Motor Vehicles,"central government, vehicles, register, national register, motor, motor vehicles, national",1081
63,Maintenance of State Registers of Motor Vehicles,"1[63. Maintenance of State Registers of Motor Vehicles.-- (1) Each State Government shall maintain in such form as may be prescribed by the Central Government a register to be known as the State Register of Motor Vehicles, in respect of the motor vehicles in that State, containing the particulars including (a) registration numbers; (b) years of manufacture; (c) classes and types; (d) names and addresses of registered owners; and (e) such other particulars as may be prescribed by the Central Gove...",4,Registration of Motor Vehicles,"each state government, central government, state, vehicles, motor, maintenance, state registers, registers, motor vehicles",915
64,Power of Central Government to make rules,"The Central Government may make rules to provide for all or any of the following matters, namely:-- (a) the period within which and the form in which an application shall be made and the documents, particulars and information it shall accompany under sub-section (1) of section 41; (b) the form in which the certificate of registration shall be made and the particulars and information it shall contain and the manner in which it shall be issued under sub-section (3) of section 41; (c) the form and ...",4,Registration of Motor Vehicles,"objection, certificate, central government, central, rules, objection certificate, power, make, government",4617
