Article_Number,Title,Content,Section,Word_Count,Clause_Count,Keywords,Themes,Has_Amendments,Amendment_Count
11,Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to,11. Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship PART III FUNDAMENTAL RIGHTS General,Unknown,50,0,"citizenship, part, regulate, right, nothing, foregoing, provisions, derogate, power, make",fundamental_rights,False,0
12,"Definition In this part, unless the context otherwise requires, the State includes the Government and Parliament of India and the Government and the L","12. Definition In this part, unless the context otherwise requires, the State includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India",Unknown,50,0,"india, definition, part, context, otherwise, requires, includes, legislature, each, local",federal_structure,False,0
13,Laws inconsistent with or in derogation of the fundamental rights,"13. Laws inconsistent with or in derogation of the fundamental rights (1) All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void (2) The State shall not make any law which takes away or abridges the rights conferred by this Part and any law made in contravention of this clause shall, to the extent of the contravention, be void (3)...",Unknown,190,3,"laws, force, territory, india, part, made, inconsistent, rights, commencement, extent","fundamental_rights, federal_structure, amendment",False,0
14,Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India P,"14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",Unknown,42,0,"equality, deny, person, equal, protection, laws, within, territory, india, prohibition","fundamental_rights, federal_structure",False,0
15,"Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth","15. Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth (1) The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them (2) No citizen shall, on grounds only of religion, race, caste, sex, place of birth or any of them, be subject to any disability, liability, restriction or condition with regard to (a) access to shops, public restaurants, hotels and palaces of public entertainment; or (b) ...",Unknown,174,2,"public, grounds, religion, race, caste, place, birth, citizen, only, nothing","fundamental_rights, directive_principles, federal_structure",False,0
16,Equality of opportunity in matters of public employment,"16. Equality of opportunity in matters of public employment (1) There shall be equality of opportunity for all citizens in matters relating to employment or appointment to any office under the State (2) No citizen shall, on grounds only of religion, race, caste, sex, descent, place of birth, residence or any of them, be ineligible for, or discriminated against in respect or, any employment or office under the State (3) Nothing in this article shall prevent Parliament from making any law prescrib...",Unknown,227,4,"employment, office, appointment, nothing, equality, opportunity, matters, citizens, religion, residence","fundamental_rights, federal_structure, emergency",False,0
17,Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Unt,17. Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Untouchability shall be an offence punishable in accordance with law,Unknown,33,0,"untouchability, abolition, abolished, practice, form, forbidden, enforcement, disability, arising, offence",,False,0
18,"Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title","18. Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title from any foreign State No person who is not a citizen of India shall, while he holds any office of profit or trust under the State, accept without the consent of the President any title from any foreign State No person holding any office of profit or trust under the State shall, without the consent of the President, accept any present, emolume...",Unknown,103,0,"title, accept, foreign, office, citizen, india, person, profit, trust, without","fundamental_rights, federal_structure, governance",False,0
19,Protection of certain rights regarding freedom of speech etc,"19. Protection of certain rights regarding freedom of speech etc (1) All citizens shall have the right (a) to freedom of speech and expression; (b) to assemble peaceably and without arms; (c) to form associations or unions; (d) to move freely throughout the territory of India; (e) to reside and settle in any part of the territory of India; and (f) omitted (g) to practise any profession, or to carry on any occupation, trade or business (2) Nothing in sub clause (a) of clause (1) shall affect the ...",Unknown,495,8,"clause, said, nothing, affect, operation, existing, prevent, making, interests, right","fundamental_rights, federal_structure",False,0
20,Protection in respect of conviction for offences,"20. Protection in respect of conviction for offences (1) No person shall be convicted of any offence except for violation of the law in force at the time of the commission of the act charged as an offence, nor be subjected to a penalty greater than that which might have been inflicted under the law in force at the time of the commission of the offence (2) No person shall be prosecuted and punished for the same offence more than once (3) No person accused of any offence shall be compelled to be a...",Unknown,97,2,"offence, person, force, time, commission, than, protection, respect, conviction, offences",fundamental_rights,False,0
21,Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law,21. Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law,Unknown,25,0,"life, personal, liberty, protection, person, deprived, except, according, procedure, established",fundamental_rights,False,0
22,Protection against arrest and detention in certain cases,"22. Protection against arrest and detention in certain cases (1) No person who is arrested shall be detained in custody without being informed, as soon as may be, of the grounds for such arrest nor shall he be denied the right to consult, and to be defended by, a legal practitioner of his choice (2) Every person who is arrested and detained in custody shall be produced before the nearest magistrate within a period of twenty four hours of such arrest excluding the time necessary for the journey f...",Unknown,427,6,"person, detention, detained, period, clause, providing, preventive, order, against, arrest",fundamental_rights,False,0
23,Prohibition of traffic in human beings and forced labour,"23. Prohibition of traffic in human beings and forced labour (1) Traffic in human beings and begar and other similar forms of forced labour are prohibited and any contravention of this provision shall be an offence punishable in accordance with law (2) Nothing in this article shall prevent the State from imposing compulsory service for public purpose, and in imposing such service the State shall not make any discrimination on grounds only of religion, race, caste or class or any of them",Unknown,82,1,"traffic, human, beings, forced, labour, imposing, service, prohibition, begar, other","fundamental_rights, federal_structure",False,0
24,"Prohibition of employment of children in factories, etc No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment Provided that nothing in this sub clause shall authorise the detention of any person beyond the maximum period prescribed by any law made by Parliament under sub clause","24. Prohibition of employment of children in factories, etc No child below the age of fourteen years shall be employed to work in any factory or mine or engaged in any other hazardous employment Provided that nothing in this sub clause shall authorise the detention of any person beyond the maximum period prescribed by any law made by Parliament under sub clause (b) of clause (7) ; or such person is detained in accordance with the provisions of any law made by Parliament under sub clauses (a) and...",Unknown,92,0,"clause, employment, person, made, prohibition, children, factories, child, fourteen, years",,False,0
25,"Freedom of conscience and free profession, practice and propagation of religion","25. Freedom of conscience and free profession, practice and propagation of religion (1) Subject to public order, morality and health and to the other provisions of this Part, all persons are equally entitled to freedom of conscience and the right freely to profess, practise and propagate religion (2) Nothing in this article shall affect the operation of any existing law or prevent the State from making any law (a) regulating or restricting any economic, financial, political or other secular acti...",Unknown,172,3,"religion, religious, reference, freedom, conscience, profession, practice, public, other, persons","fundamental_rights, directive_principles, federal_structure, emergency",False,0
26,"Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right","26. Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right (a) to establish and maintain institutions for religious and charitable purposes; (b) to manage its own affairs in matters of religion; (c) to own and acquire movable and immovable property; and (d) to administer such property in accordance with law",Unknown,64,3,"religious, manage, affairs, property, freedom, subject, public, order, morality, health","fundamental_rights, governance",False,0
27,"Freedom as to payment of taxes for promotion of any particular religion No person shall be compelled to pay any taxes, the proceeds of which are speci","27. Freedom as to payment of taxes for promotion of any particular religion No person shall be compelled to pay any taxes, the proceeds of which are specifically appropriated in payment of expenses for the promotion or maintenance of any particular religion or religions denomination",Unknown,45,0,"payment, taxes, promotion, particular, religion, freedom, person, compelled, proceeds, specifically",fundamental_rights,False,0
28,Freedom as to attendance at religious instruction or religious worship in certain educational institutions,28. Freedom as to attendance at religious instruction or religious worship in certain educational institutions (1) No religion instruction shall be provided in any educational institution wholly maintained out of State funds (2) Nothing in clause (1) shall apply to an educational institution which is administered by the State but has been established under any endowment or trust which requires that religious instruction shall be imparted in such institution (3) No person attending any educationa...,Unknown,144,1,"institution, religious, educational, instruction, person, worship, funds, imparted, thereto, freedom","fundamental_rights, federal_structure, governance",False,0
29,Protection of interests of minorities,"29. Protection of interests of minorities (1) Any section of the citizens residing in the territory of India or any part thereof having a distinct language, script or culture of its own shall have the right to conserve the same (2) No citizen shall be denied admission into any educational institution maintained by the State or receiving aid out of State funds on grounds only of religion, race, caste, language or any of them",Unknown,74,1,"language, protection, interests, minorities, section, citizens, residing, territory, india, part","fundamental_rights, federal_structure",False,0
30,Right of minorities to establish and administer educational institutions,"30. Right of minorities to establish and administer educational institutions (1) All minorities, whether based on religion or language, shall have the right to establish and administer educational institutions of their choice (1A) In making any law providing for the compulsory acquisition of any property of an educational institution established and administered by a minority, referred to in clause (1) , the State shall ensure that the amount fixed by or determined under such law for the acquisi...",Unknown,129,1,"educational, right, institutions, minorities, establish, administer, whether, based, religion, language","fundamental_rights, federal_structure, governance",False,0
31A,"Saving of laws providing for acquisition of estates, etc","31A. Saving of laws providing for acquisition of estates, etc (1) Notwithstanding anything contained in Article 13, no law providing for (a) the acquisition by the State of any estate or of any rights therein or the extinguishment or modification of any such rights, or (b) the taking over of the management of any property by the State for a limited period either in the public interest or in order to secure the proper management of the property, or (c) the amalgamation of two or more corporations...",Unknown,356,5,"rights, acquisition, extinguishment, modification, management, corporations, land, providing, estate, therein","fundamental_rights, federal_structure, governance",False,0
31B,"Validation of certain Acts and Regulations Without prejudice to the generality of the provisions contained in Article 31A, none of the Acts and Regula","31B. Validation of certain Acts and Regulations Without prejudice to the generality of the provisions contained in Article 31A, none of the Acts and Regulations specified in the Ninth Schedule nor any of the provisions thereof shall be deemed to be void, or ever to have become void, on the ground that such Act, Regulation or provision is inconsistent with, or takes away or abridges any of the rights conferred by, any provisions of this Part, and notwithstanding any judgment, decree or order of a...",Unknown,115,0,"acts, regulations, provisions, void, validation, certain, without, prejudice, generality, contained","fundamental_rights, amendment",False,0
31C,"Saving of laws giving effect to certain directive principles Notwithstanding anything contained in Article 13, no law giving effect to the policy of the State towards securing all or any of the principles laid down in Part IV shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19 and no law containing a declaration that it is for giving effect to such policy shall be called in question in any court on the ground that it does not give effect to such policy","31C. Saving of laws giving effect to certain directive principles Notwithstanding anything contained in Article 13, no law giving effect to the policy of the State towards securing all or any of the principles laid down in Part IV shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19 and no law containing a declaration that it is for giving effect to such policy shall be called in question in any c...",Unknown,146,0,"effect, giving, policy, principles, ground, saving, laws, certain, directive, notwithstanding","fundamental_rights, directive_principles, federal_structure, governance, emergency",False,0
32,Remedies for enforcement of rights conferred by this Part,"32. Remedies for enforcement of rights conferred by this Part (1) The right to move the Supreme Court by appropriate proceedings for the enforcement of the rights conferred by this Part is guaranteed (2) The Supreme Court shall have power to issue directions or orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, whichever may be appropriate, for the enforcement of any of the rights conferred by this Part (3) Without prejudice to th...",Unknown,144,2,"court, conferred, supreme, enforcement, rights, part, right, appropriate, guaranteed, writs","fundamental_rights, federal_structure",False,0
33,"Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to,","33. Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to, (a) the members of the Armed Forces; or (b) the members of the Forces charged with the maintenance of public order; or (c) persons employed in any bureau or other organisation established by the State for purposes of intelligence or counter intelligence; or (d) persons employed in, or...",Unknown,131,3,"rights, conferred, part, application, members, forces, maintenance, persons, employed, bureau","fundamental_rights, federal_structure, amendment",False,0
34,Restriction on rights conferred by this Part while martial law is in force in any area Notwithstanding anything in the foregoing provisions of this Pa,"34. Restriction on rights conferred by this Part while martial law is in force in any area Notwithstanding anything in the foregoing provisions of this Part, Parliament may by law indemnify any person in the service of the Union or of a State or any other person in respect of any act done by him in connection with the maintenance or restoration of order in any area within the territory of India where martial law was in force or validate any sentence passed, punishment inflicted, forfeiture order...",Unknown,97,0,"martial, area, part, force, person, other, done, restriction, rights, conferred","fundamental_rights, federal_structure",False,0
35,"Legislation to give effect to the provisions of this Part Notwithstanding anything in this Constitution,","35. Legislation to give effect to the provisions of this Part Notwithstanding anything in this Constitution, (a) Parliament shall have, and the Legislature of a State shall not have, power to make laws (i) with respect to any of the matters which under clause (3) of Article 16, clause (3) of Article 32, Article 33 and Article 34 may be provided for by law made by Parliament; and (ii) for prescribing punishment for those acts which are declared to be offences under this Part; and Parliament shall...",Unknown,218,3,"clause, part, punishment, referred, force, make, laws, respect, matters, made","directive_principles, federal_structure, amendment",False,0
36,"Definition In this Part, unless the context otherwise requires, the State has the same meaning as in Part III","36. Definition In this Part, unless the context otherwise requires, the State has the same meaning as in Part III",Unknown,20,0,"part, definition, context, otherwise, requires, same, meaning",federal_structure,False,0
37,"Application of the principles contained in this Part The provisions contained in this Part shall not be enforceable by any court, but the principles t","37. Application of the principles contained in this Part The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws",Unknown,53,0,"principles, contained, part, application, provisions, enforceable, court, therein, laid, nevertheless","directive_principles, federal_structure",False,0
38,State to secure a social order for the promotion of welfare of the people,"38. State to secure a social order for the promotion of welfare of the people (1) The State shall strive to promote the welfare of the people by securing and protecting as effectively as it may a social order in which justice, social, economic and political, shall inform all the institutions of the national life (2) The State shall, in particular, strive to minimize the inequalities in income, and endeavor to eliminate inequalities in status, facilities and opportunities, not only amongst indivi...",Unknown,97,1,"social, people, order, welfare, strive, inequalities, amongst, different, secure, promotion","directive_principles, federal_structure, emergency",False,0
39,Certain principles of policy to be followed by the State,"39. Certain principles of policy to be followed by the State: The State shall, in particular, direct its policy towards securing (a) that the citizens, men and women equally, have the right to an adequate means to livelihood; (b) that the ownership and control of the material resources of the community are so distributed as best to subserve the common good; (c) that the operation of the economic system does not result in the concentration of wealth and means of production to the common detriment...",Unknown,173,6,"women, policy, citizens, means, material, common, economic, equal, strength, children","fundamental_rights, directive_principles, federal_structure",False,0
39,"A Equal justice and free legal aid The State shall secure that the operation of the legal system promotes justice, on a basis of equal opportunity, an","39. A Equal justice and free legal aid The State shall secure that the operation of the legal system promotes justice, on a basis of equal opportunity, and shall, in particular, provide free legal aid, by suitable legislation or schemes or in any other way, to ensure that opportunities for securing justice are not denied to any citizen by reason of economic or other disabilities",Unknown,65,0,"justice, legal, equal, free, other, secure, operation, system, promotes, basis","directive_principles, federal_structure",False,0
40,Organisation of village panchayats The State shall take steps to organize village panchayats and endow them with such powers and authority as may be n,40. Organisation of village panchayats The State shall take steps to organize village panchayats and endow them with such powers and authority as may be necessary to enable them to function as units of self government,Unknown,36,0,"village, panchayats, organisation, take, steps, organize, endow, powers, authority, necessary",federal_structure,False,0
41,"Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, mak","41. Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want",Unknown,56,0,"cases, right, work, education, public, assistance, certain, within, limits, economic","fundamental_rights, directive_principles, federal_structure",False,0
42,Provision for just and humane conditions of work and maternity relief The State shall make provision for securing just and humane conditions of work a,42. Provision for just and humane conditions of work and maternity relief The State shall make provision for securing just and humane conditions of work and for maternity relief,Unknown,29,0,"provision, just, humane, conditions, work, maternity, relief, make, securing",federal_structure,False,0
43,"Living wage, etc, for workers The State shall endeavour to secure, by suitable legislation or economic organisation or in any other way, to all worker","43. Living wage, etc, for workers The State shall endeavour to secure, by suitable legislation or economic organisation or in any other way, to all workers, agricultural, industrial or otherwise, work, a living wage, conditions of work ensuring a decent standard of life and full enjoyment of leisure and social and cultural opportunities and, in particular, the State shall endeavour to promote cottage industries on an individual or co operative basis in rural areas",Unknown,74,0,"living, wage, workers, endeavour, work, secure, suitable, legislation, economic, organisation","directive_principles, federal_structure",False,0
43,"A Participation of workers in management of industries The State shall take steps, by suitable legislation or in any other way, to secure the particip","43. A Participation of workers in management of industries The State shall take steps, by suitable legislation or in any other way, to secure the participation of workers in the management of undertakings, establishments or other organisations engaged in any industry",Unknown,41,0,"participation, workers, management, other, industries, take, steps, suitable, legislation, secure",federal_structure,False,0
44,Uniform civil code for the citizens The State shall endeavour to secure for the citizens a uniform civil code throughout the territory of India,44. Uniform civil code for the citizens The State shall endeavour to secure for the citizens a uniform civil code throughout the territory of India,Unknown,25,0,"uniform, civil, code, citizens, endeavour, secure, throughout, territory, india",federal_structure,False,0
45,"Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of t","45. Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years",Unknown,43,0,"free, compulsory, education, children, years, provision, endeavour, provide, within, period",federal_structure,False,0
46,"Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections The State shall promote with special c","46. Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation",Unknown,58,0,"scheduled, educational, economic, interests, castes, tribes, weaker, sections, promotion, other","directive_principles, federal_structure",False,0
47,Duty of the State to raise the level of nutrition and the standard of living and to improve public health The State shall regard the raising of the le,"47. Duty of the State to raise the level of nutrition and the standard of living and to improve public health The State shall regard the raising of the level of nutrition and the standard of living of its people and the improvement of public health as among its primary duties and, in particular, the State shall endeavour to bring about prohibition of the consumption except for medicinal purposes of intoxicating drinks and of drugs which are injurious to health",Unknown,80,0,"health, level, nutrition, standard, living, public, duty, raise, improve, regard",federal_structure,False,0
48,Organisation of agriculture and animal husbandry The State shall endeavour to organise agriculture and animal husbandry on modern and scientific lines,"48. Organisation of agriculture and animal husbandry The State shall endeavour to organise agriculture and animal husbandry on modern and scientific lines and shall, in particular, take steps for preserving and improving the breeds, and prohibiting the slaughter, of cows and calves and other milch and draught cattle",Unknown,48,0,"agriculture, animal, husbandry, organisation, endeavour, organise, modern, scientific, lines, particular",federal_structure,False,0
48A,Protection and improvement of environment and safeguarding of forests and wild life The State shall endeavour to protect and improve the environment a,48A. Protection and improvement of environment and safeguarding of forests and wild life The State shall endeavour to protect and improve the environment and to safeguard the forests and wild life of the country,Unknown,34,0,"environment, forests, wild, life, protection, improvement, safeguarding, endeavour, protect, improve","fundamental_rights, federal_structure",False,0
49,Protection of monuments and places and objects of national importance It shall be the obligation of the State to protect every monument or place or ob,"49. Protection of monuments and places and objects of national importance It shall be the obligation of the State to protect every monument or place or object of artistic or historic interests, declared by or under law made by Parliament to be of national importance, from spoliation, disfigurement, destruction, removal, disposal or export, as the case may be",Unknown,58,0,"national, importance, protection, monuments, places, objects, obligation, protect, every, monument","fundamental_rights, federal_structure, emergency",False,0
50,Separation of judiciary from executive The State shall take steps to separate the judiciary from the executive in the public services of the State,50. Separation of judiciary from executive The State shall take steps to separate the judiciary from the executive in the public services of the State,Unknown,25,0,"judiciary, executive, separation, take, steps, separate, public, services","federal_structure, governance",False,0
51,Promotion of international peace and security The State shall endeavour to,51. Promotion of international peace and security The State shall endeavour to (a) promote international peace and security; (b) maintain just and honourable relations between nations; (c) foster respect for international law and treaty obligations in the dealings of organised peoples with one another; and encourage settlement of international disputes by arbitration PART IVA FUNDAMENTAL DUTIES,Unknown,56,3,"international, peace, security, promotion, endeavour, promote, maintain, just, honourable, relations","federal_structure, emergency",False,0
51A,Fundamental duties It shall be the duty of every citizen of India,"51A. Fundamental duties It shall be the duty of every citizen of India (a) to abide by the Constitution and respect its ideals and institutions, the national Flag and the National Anthem; (b) to cherish and follow the noble ideals which inspired our national struggle for freedom; (c) to uphold and protect the sovereignty, unity and integrity of India; (d) to defend the country and render national service when called upon to do so; (e) to promote harmony and the spirit of common brotherhood among...",Unknown,203,9,"national, india, ideals, protect, spirit, president, fundamental, duties, duty, every","fundamental_rights, federal_structure, governance, emergency",False,0
52,The President of India There shall be a President of India,52. The President of India There shall be a President of India,Unknown,12,0,"president, india, there",governance,False,0
53,Executive power of the Union,"53. Executive power of the Union (1) The executive power of the Union shall be vested in the President and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution (2) Without prejudice to the generality of the foregoing provision, the supreme command of the Defence Forces of the Union shall be vested in the President and the exercise thereof shall be regulated by law (3) Nothing in this article shall (a) be deemed to transfer to the P...",Unknown,118,3,"president, executive, power, vested, functions, other, exercised, either, directly, through","federal_structure, governance",False,0
54,Election of President The President shall be elected by the members of an electoral college consisting of the elected members of both Houses of Parlia,54. Election of President The President shall be elected by the members of an electoral college consisting of the elected members of both Houses of Parliament; and the elected members of the Legislative Assemblies of the States,Unknown,37,0,"elected, members, president, election, electoral, college, consisting, both, houses, legislative","federal_structure, governance",False,0
55,Manner of election of President,"55. Manner of election of President (1) As far as practicable, there shall be uniformity in the scale of representation of the d different States at the election of the President (2) For the purpose of securing such uniformity among the States inter se as well as parity b between the States as a whole and the Union, the number of votes which each elected member of Parliament and of the Legislative Assembly of each State is entitled to cast at such election shall be determined in the following ma...",Unknown,345,5,"election, number, elected, votes, each, member, census, president, legislative, assembly","federal_structure, governance",False,0
56,Term of office of President,"56. Term of office of President (1) The President shall hold office for a term of five years from the date on which he enters upon his office: Provided that (a) the President may, by writing under his hand addressed to the Vice President, resign his office; (b) the President may, for violation of the constitution, be removed from office by impeachment in the manner provided in Article 61: (c) the President shall, notwithstanding the expiration of his term, continue to hold office until his succe...",Unknown,122,2,"office, president, term, hold, enters, upon, provided, addressed, vice, clause",governance,False,0
57,"Eligibility for re election A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be e","57. Eligibility for re election A person who holds, or who has held, office as President shall, subject to the other provisions of this Constitution, be eligible for re election to that office",Unknown,33,0,"election, office, eligibility, person, holds, held, president, subject, other, provisions",governance,False,0
58,Qualifications for election as President,"58. Qualifications for election as President (1) No person shall be eligible for election as President unless he (a) is a citizen of India, (b) has completed the age of thirty five years, and (c) is qualified for election as a member of the House of the People (2) A person shall not be eligible for election as President if he holds any office of profit under the or the Government of any State or under any local or other authority subject to the control of any of the said Governments Explanation ...",Unknown,142,3,"president, election, person, eligible, office, profit, qualifications, citizen, india, completed","federal_structure, governance",False,0
