question,answer,context,section_number,chapter,type,keyword,chapter_title
Which section deals with number?,"Section 9 deals with number. It states: Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.","Section 9: Number
Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.",9,2,title_based,,
Which section of IPC deals with number?,"Section 9 (Number) deals with number. Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.","Section 9: Number
Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.",9,2,keyword_based,number,
Which section of IPC deals with words?,"Section 9 (Number) deals with words. Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.","Section 9: Number
Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.",9,2,keyword_based,words,
Which section of IPC deals with importing?,"Section 9 (Number) deals with importing. Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.","Section 9: Number
Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.",9,2,keyword_based,importing,
What sections are in Chapter 2 about general explanations?,Section 9 is part of Chapter 2 on general explanations. This section covers: Number,"Section 9: Number
Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.",9,2,chapter_based,,general explanations
What is Section 10 of IPC about?,Section 10 is titled 'Man and Woman' and states: The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.,"Section 10: Man and Woman
The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.",10,2,general,,
Which section deals with man and woman?,Section 10 deals with man and woman. It states: The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.,"Section 10: Man and Woman
The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.",10,2,title_based,,
Which section of IPC deals with woman?,Section 10 (Man and Woman) deals with woman. The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.,"Section 10: Man and Woman
The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.",10,2,keyword_based,woman,
Which section of IPC deals with word?,Section 10 (Man and Woman) deals with word. The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.,"Section 10: Man and Woman
The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.",10,2,keyword_based,word,
Which section of IPC deals with denotes?,Section 10 (Man and Woman) deals with denotes. The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.,"Section 10: Man and Woman
The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.",10,2,keyword_based,denotes,
What sections are in Chapter 2 about general explanations?,Section 10 is part of Chapter 2 on general explanations. This section covers: Man and Woman,"Section 10: Man and Woman
The word “man” denotes a male human being of any age; The word “woman” denotes a female human being of any age.",10,2,chapter_based,,general explanations
What is Section 11 of IPC about?,"Section 11 is titled 'Person' and states: The word “person” includes any Company or Association or body of persons, whether incorporated or not.","Section 11: Person
The word “person” includes any Company or Association or body of persons, whether incorporated or not.",11,2,general,,
Which section deals with person?,"Section 11 deals with person. It states: The word “person” includes any Company or Association or body of persons, whether incorporated or not.","Section 11: Person
The word “person” includes any Company or Association or body of persons, whether incorporated or not.",11,2,title_based,,
Which section of IPC deals with person?,"Section 11 (Person) deals with person. The word “person” includes any Company or Association or body of persons, whether incorporated or not.","Section 11: Person
The word “person” includes any Company or Association or body of persons, whether incorporated or not.",11,2,keyword_based,person,
Which section of IPC deals with word?,"Section 11 (Person) deals with word. The word “person” includes any Company or Association or body of persons, whether incorporated or not.","Section 11: Person
The word “person” includes any Company or Association or body of persons, whether incorporated or not.",11,2,keyword_based,word,
Which section of IPC deals with includes?,"Section 11 (Person) deals with includes. The word “person” includes any Company or Association or body of persons, whether incorporated or not.","Section 11: Person
The word “person” includes any Company or Association or body of persons, whether incorporated or not.",11,2,keyword_based,includes,
What sections are in Chapter 2 about general explanations?,Section 11 is part of Chapter 2 on general explanations. This section covers: Person,"Section 11: Person
The word “person” includes any Company or Association or body of persons, whether incorporated or not.",11,2,chapter_based,,general explanations
What is Section 12 of IPC about?,Section 12 is titled 'Public' and states: The word “public” includes any class of the public or any community.,"Section 12: Public
The word “public” includes any class of the public or any community.",12,2,general,,
Which section deals with public?,Section 12 deals with public. It states: The word “public” includes any class of the public or any community.,"Section 12: Public
The word “public” includes any class of the public or any community.",12,2,title_based,,
Which section of IPC deals with public?,Section 12 (Public) deals with public. The word “public” includes any class of the public or any community.,"Section 12: Public
The word “public” includes any class of the public or any community.",12,2,keyword_based,public,
Which section of IPC deals with word?,Section 12 (Public) deals with word. The word “public” includes any class of the public or any community.,"Section 12: Public
The word “public” includes any class of the public or any community.",12,2,keyword_based,word,
Which section of IPC deals with includes?,Section 12 (Public) deals with includes. The word “public” includes any class of the public or any community.,"Section 12: Public
The word “public” includes any class of the public or any community.",12,2,keyword_based,includes,
What sections are in Chapter 2 about general explanations?,Section 12 is part of Chapter 2 on general explanations. This section covers: Public,"Section 12: Public
The word “public” includes any class of the public or any community.",12,2,chapter_based,,general explanations
What is Section 13 of IPC about?,Section 13 is titled 'Queen' and states: [Repealed by the A. O. 1950],"Section 13: Queen
[Repealed by the A. O. 1950]",13,2,general,,
Which section deals with queen?,Section 13 deals with queen. It states: [Repealed by the A. O. 1950],"Section 13: Queen
[Repealed by the A. O. 1950]",13,2,title_based,,
Which section of IPC deals with queen?,Section 13 (Queen) deals with queen. [Repealed by the A. O. 1950],"Section 13: Queen
[Repealed by the A. O. 1950]",13,2,keyword_based,queen,
Which section of IPC deals with repealed?,Section 13 (Queen) deals with repealed. [Repealed by the A. O. 1950],"Section 13: Queen
[Repealed by the A. O. 1950]",13,2,keyword_based,repealed,
What sections are in Chapter 2 about general explanations?,Section 13 is part of Chapter 2 on general explanations. This section covers: Queen,"Section 13: Queen
[Repealed by the A. O. 1950]",13,2,chapter_based,,general explanations
What is Section 14 of IPC about?,"Section 14 is titled 'Servant of Government' and states: The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.","Section 14: Servant of Government
The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.",14,2,general,,
Which section deals with servant of government?,"Section 14 deals with servant of government. It states: The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.","Section 14: Servant of Government
The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.",14,2,title_based,,
Which section of IPC deals with servant?,"Section 14 (Servant of Government) deals with servant. The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.","Section 14: Servant of Government
The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.",14,2,keyword_based,servant,
Which section of IPC deals with government?,"Section 14 (Servant of Government) deals with government. The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.","Section 14: Servant of Government
The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.",14,2,keyword_based,government,
Which section of IPC deals with words?,"Section 14 (Servant of Government) deals with words. The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.","Section 14: Servant of Government
The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.",14,2,keyword_based,words,
What sections are in Chapter 2 about general explanations?,Section 14 is part of Chapter 2 on general explanations. This section covers: Servant of Government,"Section 14: Servant of Government
The words “servant of Government” denote any officer or servant continued, appointed or employed in India by or under the authority of Government.",14,2,chapter_based,,general explanations
What is Section 15 of IPC about?,Section 15 is titled 'British India' and states: Repealed by A. O. 1937.,"Section 15: British India
Repealed by A. O. 1937.",15,2,general,,
Which section deals with british india?,Section 15 deals with british india. It states: Repealed by A. O. 1937.,"Section 15: British India
Repealed by A. O. 1937.",15,2,title_based,,
Which section of IPC deals with british?,Section 15 (British India) deals with british. Repealed by A. O. 1937.,"Section 15: British India
Repealed by A. O. 1937.",15,2,keyword_based,british,
Which section of IPC deals with india?,Section 15 (British India) deals with india. Repealed by A. O. 1937.,"Section 15: British India
Repealed by A. O. 1937.",15,2,keyword_based,india,
Which section of IPC deals with repealed?,Section 15 (British India) deals with repealed. Repealed by A. O. 1937.,"Section 15: British India
Repealed by A. O. 1937.",15,2,keyword_based,repealed,
What sections are in Chapter 2 about general explanations?,Section 15 is part of Chapter 2 on general explanations. This section covers: British India,"Section 15: British India
Repealed by A. O. 1937.",15,2,chapter_based,,general explanations
What is Section 16 of IPC about?,Section 16 is titled 'Government of India' and states: Repealed ibid.,"Section 16: Government of India
Repealed ibid.",16,2,general,,
Which section deals with government of india?,Section 16 deals with government of india. It states: Repealed ibid.,"Section 16: Government of India
Repealed ibid.",16,2,title_based,,
Which section of IPC deals with government?,Section 16 (Government of India) deals with government. Repealed ibid.,"Section 16: Government of India
Repealed ibid.",16,2,keyword_based,government,
Which section of IPC deals with india?,Section 16 (Government of India) deals with india. Repealed ibid.,"Section 16: Government of India
Repealed ibid.",16,2,keyword_based,india,
Which section of IPC deals with repealed?,Section 16 (Government of India) deals with repealed. Repealed ibid.,"Section 16: Government of India
Repealed ibid.",16,2,keyword_based,repealed,
What sections are in Chapter 2 about general explanations?,Section 16 is part of Chapter 2 on general explanations. This section covers: Government of India,"Section 16: Government of India
Repealed ibid.",16,2,chapter_based,,general explanations
What is Section 17 of IPC about?,Section 17 is titled 'Government' and states: The word “Government” denotes the Central Government or the Government of a State.,"Section 17: Government
The word “Government” denotes the Central Government or the Government of a State.",17,2,general,,
Which section deals with government?,Section 17 deals with government. It states: The word “Government” denotes the Central Government or the Government of a State.,"Section 17: Government
The word “Government” denotes the Central Government or the Government of a State.",17,2,title_based,,
Which section of IPC deals with government?,Section 17 (Government) deals with government. The word “Government” denotes the Central Government or the Government of a State.,"Section 17: Government
The word “Government” denotes the Central Government or the Government of a State.",17,2,keyword_based,government,
Which section of IPC deals with word?,Section 17 (Government) deals with word. The word “Government” denotes the Central Government or the Government of a State.,"Section 17: Government
The word “Government” denotes the Central Government or the Government of a State.",17,2,keyword_based,word,
Which section of IPC deals with denotes?,Section 17 (Government) deals with denotes. The word “Government” denotes the Central Government or the Government of a State.,"Section 17: Government
The word “Government” denotes the Central Government or the Government of a State.",17,2,keyword_based,denotes,
What sections are in Chapter 2 about general explanations?,Section 17 is part of Chapter 2 on general explanations. This section covers: Government,"Section 17: Government
The word “Government” denotes the Central Government or the Government of a State.",17,2,chapter_based,,general explanations
What is Section 18 of IPC about?,Section 18 is titled 'India' and states: “India” means the territory of India excluding the State of Jammu and Kashmir.,"Section 18: India
“India” means the territory of India excluding the State of Jammu and Kashmir.",18,2,general,,
Which section deals with india?,Section 18 deals with india. It states: “India” means the territory of India excluding the State of Jammu and Kashmir.,"Section 18: India
“India” means the territory of India excluding the State of Jammu and Kashmir.",18,2,title_based,,
Which section of IPC deals with india?,Section 18 (India) deals with india. “India” means the territory of India excluding the State of Jammu and Kashmir.,"Section 18: India
“India” means the territory of India excluding the State of Jammu and Kashmir.",18,2,keyword_based,india,
