question,answer,context,article_number,type,clause,keyword
Which article deals with terms and conditions?,Article 2 (Admission or establishment of new States) deals with terms and conditions.,"Article 2: Admission or establishment of new States\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.",2,keyword_based,,terms and conditions
Which article deals with Union?,Article 2 (Admission or establishment of new States) deals with Union.,"Article 2: Admission or establishment of new States\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.",2,keyword_based,,Union
What is Article 2A about?,Article 2A is titled 'Sikkim to be associated with the Union (Omitted)' and deals with sikkim to be associated with the union (omitted).,"Article 2A: Sikkim to be associated with the Union (Omitted)\nOmitted by the Constitution (Thirty-sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975).",2A,general,,
What does clause  of Article 2A state?,"Omitted by the Constitution (Thirty-sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975).","Article 2A: Sikkim to be associated with the Union (Omitted)\nOmitted by the Constitution (Thirty-sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975).",2A,clause_specific,,
Which article deals with omitted?,Article 2A (Sikkim to be associated with the Union (Omitted)) deals with omitted.,"Article 2A: Sikkim to be associated with the Union (Omitted)\nOmitted by the Constitution (Thirty-sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975).",2A,keyword_based,,omitted
Which article deals with Thirty-sixth Amendment?,Article 2A (Sikkim to be associated with the Union (Omitted)) deals with Thirty-sixth Amendment.,"Article 2A: Sikkim to be associated with the Union (Omitted)\nOmitted by the Constitution (Thirty-sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975).",2A,keyword_based,,Thirty-sixth Amendment
Which article deals with 1975?,Article 2A (Sikkim to be associated with the Union (Omitted)) deals with 1975.,"Article 2A: Sikkim to be associated with the Union (Omitted)\nOmitted by the Constitution (Thirty-sixth Amendment) Act, 1975, s. 5 (w.e.f. 26-4-1975).",2A,keyword_based,,1975
What is Article 3 about?,"Article 3 is titled 'Formation of new States and alteration of areas, boundaries or names of existing States' and deals with formation of new states and alteration of areas, boundaries or names of existing states.","Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,general,,
What does clause (a) of Article 3 state?,Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,(a),
What does clause (b) of Article 3 state?,Increase the area of any State.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,(b),
What does clause (c) of Article 3 state?,Diminish the area of any State.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,(c),
What does clause (d) of Article 3 state?,Alter the boundaries of any State.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,(d),
What does clause (e) of Article 3 state?,Alter the name of any State.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,(e),
What does clause Proviso of Article 3 state?,No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,Proviso,
What does clause Explanation I of Article 3 state?,"In clauses (a) to (e), 'State' includes a Union territory.","Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,Explanation I,
What does clause Explanation II of Article 3 state?,Parliament can unite part of a State or Union territory with another State or Union territory.,"Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,clause_specific,Explanation II,
Which article deals with uniting territories?,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) deals with uniting territories.","Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,keyword_based,,uniting territories
Which article deals with alter name?,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) deals with alter name.","Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,keyword_based,,alter name
Which article deals with separation?,"Article 3 (Formation of new States and alteration of areas, boundaries or names of existing States) deals with separation.","Article 3: Formation of new States and alteration of areas, boundaries or names of existing States\n(a) Form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State.\n(b) Increase the area of any State.\n(c) Diminish the area of any State.\n(d) Alter the boundaries of any State.\n(e) Alter the name of any State.\nProviso No Bill for the purpose shall be introduced in Parliament without the President's recommendation and referral to the affected State Legislature.\nExplanation I In clauses (a) to (e), 'State' includes a Union territory.\nExplanation II Parliament can unite part of a State or Union territory with another State or Union territory.",3,keyword_based,,separation
What is Article 4 about?,Article 4 is titled 'Laws made under articles 2 and 3' and deals with laws made under articles 2 and 3.,"Article 4: Laws made under articles 2 and 3\n(1) Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.\n(2) No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.",4,general,,
What does clause (1) of Article 4 state?,"Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.","Article 4: Laws made under articles 2 and 3\n(1) Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.\n(2) No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.",4,clause_specific,(1),
What does clause (2) of Article 4 state?,No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.,"Article 4: Laws made under articles 2 and 3\n(1) Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.\n(2) No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.",4,clause_specific,(2),
Which article deals with not amendment?,Article 4 (Laws made under articles 2 and 3) deals with not amendment.,"Article 4: Laws made under articles 2 and 3\n(1) Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.\n(2) No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.",4,keyword_based,,not amendment
Which article deals with supplemental provisions?,Article 4 (Laws made under articles 2 and 3) deals with supplemental provisions.,"Article 4: Laws made under articles 2 and 3\n(1) Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.\n(2) No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.",4,keyword_based,,supplemental provisions
Which article deals with article 368?,Article 4 (Laws made under articles 2 and 3) deals with article 368.,"Article 4: Laws made under articles 2 and 3\n(1) Any law referred to in article 2 or 3 shall contain such provisions for the amendment of the First and Fourth Schedules and may also include supplemental, incidental and consequential provisions.\n(2) No such law shall be deemed to be an amendment of the Constitution for the purposes of article 368.",4,keyword_based,,article 368
What is Article 5 about?,Article 5 is titled 'Citizenship at the commencement of the Constitution' and deals with citizenship at the commencement of the constitution.,"Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,general,,
What does clause  of Article 5 state?,"At the commencement of this Constitution, every person who has his domicile in the territory of India and-","Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,clause_specific,,
What does clause (a) of Article 5 state?,who was born in the territory of India;,"Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,clause_specific,(a),
What does clause (b) of Article 5 state?,either of whose parents was born in the territory of India;,"Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,clause_specific,(b),
What does clause (c) of Article 5 state?,"who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.","Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,clause_specific,(c),
Which article deals with parents born in India?,Article 5 (Citizenship at the commencement of the Constitution) deals with parents born in India.,"Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,keyword_based,,parents born in India
Which article deals with five years?,Article 5 (Citizenship at the commencement of the Constitution) deals with five years.,"Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,keyword_based,,five years
Which article deals with born in India?,Article 5 (Citizenship at the commencement of the Constitution) deals with born in India.,"Article 5: Citizenship at the commencement of the Constitution\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and-\n(a) who was born in the territory of India;\n(b) either of whose parents was born in the territory of India;\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.",5,keyword_based,,born in India
What is Article 6 about?,Article 6 is titled 'Rights of citizenship of certain persons who have migrated to India from Pakistan' and deals with rights of citizenship of certain persons who have migrated to india from pakistan.,"Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,general,,
What does clause  of Article 6 state?,"Notwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-","Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,clause_specific,,
What does clause (a) of Article 6 state?,"he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);","Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,clause_specific,(a),
What does clause (b)(i) of Article 6 state?,"in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;","Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,clause_specific,(b)(i),
What does clause (b)(ii) of Article 6 state?,"in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.","Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,clause_specific,(b)(ii),
What does clause Proviso of Article 6 state?,No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.,"Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,clause_specific,Proviso,
Which article deals with parents?,Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan) deals with parents.,"Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,keyword_based,,parents
Which article deals with six months?,Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan) deals with six months.,"Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,keyword_based,,six months
Which article deals with Government of India Act 1935?,Article 6 (Rights of citizenship of certain persons who have migrated to India from Pakistan) deals with Government of India Act 1935.,"Article 6: Rights of citizenship of certain persons who have migrated to India from Pakistan\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if-\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted);\n(b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration;\n(b)(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him before the commencement of this Constitution.\nProviso No person shall be so registered unless he has been resident in the territory of India for at least six months immediately preceding the date of his application.",6,keyword_based,,Government of India Act 1935
What is Article 7 about?,Article 7 is titled 'Rights of citizenship of certain migrants to Pakistan' and deals with rights of citizenship of certain migrants to pakistan.,"Article 7: Rights of citizenship of certain migrants to Pakistan\nNotwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India.\nProviso Nothing in this article shall apply to a person who, after having so migrated to Pakistan, has returned to India under a permit for resettlement or permanent return issued by law, and shall be deemed to have migrated to India after 19 July 1948 for purposes of article 6(b).",7,general,,
What does clause  of Article 7 state?,"Notwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India.","Article 7: Rights of citizenship of certain migrants to Pakistan\nNotwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India.\nProviso Nothing in this article shall apply to a person who, after having so migrated to Pakistan, has returned to India under a permit for resettlement or permanent return issued by law, and shall be deemed to have migrated to India after 19 July 1948 for purposes of article 6(b).",7,clause_specific,,
What does clause Proviso of Article 7 state?,"Nothing in this article shall apply to a person who, after having so migrated to Pakistan, has returned to India under a permit for resettlement or permanent return issued by law, and shall be deemed to have migrated to India after 19 July 1948 for purposes of article 6(b).","Article 7: Rights of citizenship of certain migrants to Pakistan\nNotwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India.\nProviso Nothing in this article shall apply to a person who, after having so migrated to Pakistan, has returned to India under a permit for resettlement or permanent return issued by law, and shall be deemed to have migrated to India after 19 July 1948 for purposes of article 6(b).",7,clause_specific,Proviso,
"Which article deals with March 1, 1947?","Article 7 (Rights of citizenship of certain migrants to Pakistan) deals with March 1, 1947.","Article 7: Rights of citizenship of certain migrants to Pakistan\nNotwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India.\nProviso Nothing in this article shall apply to a person who, after having so migrated to Pakistan, has returned to India under a permit for resettlement or permanent return issued by law, and shall be deemed to have migrated to India after 19 July 1948 for purposes of article 6(b).",7,keyword_based,,"March 1, 1947"
